key,city,country,population,latitude,longitude,clusters
292223,Dubai,AE,2956587,25.07725,55.30927,-1
616052,Yerevan,AM,1093485,40.18111,44.51361,0
2240449,Luanda,AO,2776168,-8.83682,13.23432,-1
3651438,Santa Elena,EC,42214,-2.22622,-80.85873000000001,1
3911925,La Paz,BO,812799,-16.5,-68.15,-1
3435910,Buenos Aires,AR,13076300,-34.61315,-58.377230000000004,-1
1687894,Santa Rosa,PH,216650,14.312220000000002,121.11138999999999,2
3836277,Santa Fe,AR,489505,-31.648809999999997,-60.70868000000001,-1
3837213,San Juan,AR,447048,-31.5375,-68.53639,-1
5391959,San Francisco,US,864816,37.77493,-122.41942,3
3451138,Rio Grande,BR,187838,-32.035,-52.09861,-1
3511550,Bella Vista,DO,175683,18.455389999999998,-69.9454,-1
2761369,Vienna,AT,1691468,48.208490000000005,16.37208,-1
5106834,Albany,US,98469,42.65258,-73.75623,4
5106834,Albany,US,98469,42.65258,-73.75623,4
2146142,Townsville,AU,196219,-19.266389999999998,146.80569,-1
2147714,Sydney,AU,4627345,-33.86785,151.20731999999998,-1
2151437,Rockhampton,AU,61724,-23.38032,150.50595,5
4781708,Richmond,US,220289,37.55376,-77.46025999999999,4
4781708,Richmond,US,220289,37.55376,-77.46025999999999,4
5379513,Orange,US,140992,33.78779,-117.85311000000002,3
5379513,Orange,US,140992,33.78779,-117.85311000000002,3
971421,Newcastle,ZA,404838,-27.757959999999997,29.9318,6
2158177,Melbourne,AU,4246375,-37.814,144.96331999999998,-1
2158177,Melbourne,AU,4246375,-37.814,144.96331999999998,-1
5123280,Kensington,US,39120,40.646209999999996,-73.97069,4
2165478,Gladstone,AU,30489,-23.84852,151.25775,5
5347335,Fairfield,US,112970,38.249359999999996,-122.03997,3
5347335,Fairfield,US,112970,38.249359999999996,-122.03997,3
2172517,Canberra,AU,367752,-35.28346,149.12807,-1
2173323,Bundaberg,AU,70826,-24.86621,152.3479,5
2174003,Brisbane,AU,2189878,-27.467940000000002,153.02809,-1
2654710,Brighton,GB,139001,50.828379999999996,-0.13947,7
586523,Ganja,AZ,313300,40.68278,46.36056,0
587084,Baku,AZ,1116513,40.37767,49.89201,-1
1185241,Dhaka,BD,10356500,23.7104,90.40744000000001,-1
2800866,Brussels,BE,1019022,50.85045,4.3487800000000005,-1
5969782,Hamilton,CA,519949,43.25011,-79.84963,4
3902377,Trinidad,BO,84259,-14.833329999999998,-64.9,-1
3390760,Recife,BR,1478098,-8.053889999999999,-34.88111,8
3393536,Olinda,BR,366754,-8.00889,-34.85528,8
3394023,Natal,BR,763043,-5.795,-35.20944,8
3396277,Limoeiro,BR,42328,-7.87472,-35.45028,8
3399415,Fortaleza,BR,2400000,-3.7172199999999997,-38.54306,-1
5174035,Toledo,US,279789,41.663940000000004,-83.55521,4
3449433,Santos,BR,411403,-23.960829999999998,-46.33361,9
3871336,Santiago,CL,4837295,-33.45694,-70.64827,-1
3450554,Salvador,BR,2711840,-12.971110000000001,-38.51083,-1
5389489,Sacramento,US,490712,38.58157,-121.4944,3
3453643,Piracicaba,BR,342209,-22.725279999999998,-47.64917,9
3460344,Jacobina,BR,47637,-11.18143,-40.51372,-1
1248991,Colombo,LK,648034,6.93548,79.84868,10
1248991,Colombo,LK,648034,6.93548,79.84868,10
3467865,Campinas,BR,1031554,-22.90556,-47.060829999999996,9
3469136,Botucatu,BR,113862,-22.88583,-48.445,9
3470127,Belo Horizonte,BR,2373224,-19.92083,-43.93778,-1
3663517,Manaus,BR,1598210,-3.1019400000000004,-60.025,-1
3571824,Nassau,BS,227940,25.05823,-77.34306,4
3582672,Belmopan,BZ,13381,17.25,-88.76666999999999,4
3582677,Belize City,BZ,61461,17.49952,-88.19756,4
5412347,Aurora,US,359407,39.72943,-104.83192,11
5913490,Calgary,CA,1019942,51.05011,-114.08528999999999,-1
2653941,Cambridge,GB,158434,52.2,0.11667000000000001,7
2653941,Cambridge,GB,158434,52.2,0.11667000000000001,7
2653305,Chatham,GB,75509,51.37891,0.52786,7
4068590,Huntsville,US,190582,34.7304,-86.58594000000001,4
3489854,Kingston,JM,937700,17.997020000000003,-76.79358,4
2643743,London,GB,7556900,51.50853,-0.12574000000000002,7
2643743,London,GB,7556900,51.50853,-0.12574000000000002,7
6074377,Milton,CA,101715,43.51681,-79.88294,4
6089426,North Bay,CA,50396,46.3168,-79.46633,4
6090785,North Vancouver,CA,48000,49.316359999999996,-123.06934,12
6094817,Ottawa,CA,812129,45.41117,-75.69811999999999,4
6155721,St. Catharines,CA,131989,43.17126,-79.24266999999999,4
4843811,Stratford,US,51384,41.184540000000005,-73.13316999999999,4
6163012,Terrebonne,CA,94703,45.70004,-73.64732,4
6167865,Toronto,CA,2600000,43.700109999999995,-79.4163,4
6173331,Vancouver,CA,600000,49.24966,-123.11934,12
6182962,Windsor,CA,278013,42.30008,-83.01654,4
6183235,Winnipeg,CA,632063,49.8844,-97.14704,4
6324729,Halifax,CA,359111,44.64533,-63.572390000000006,-1
2314302,Kinshasa,CD,7785965,-4.32758,15.31357,-1
2260535,Brazzaville,CG,1284609,-4.26613,15.283179999999998,-1
2659994,Lausanne,CH,116751,46.516000000000005,6.63282,13
2661604,Basel,CH,164488,47.55839,7.57327,13
4726206,San Antonio,US,1469845,29.424120000000002,-98.49363000000001,4
5368361,Los Angeles,US,3971883,34.05223,-118.24368,3
1791247,Wuhan,CN,9785388,30.58333,114.26666999999999,-1
1886760,Suzhou,CN,5345961,31.30408,120.59538,14
