,key,city,country,population,latitude,longitude
0,292223,Dubai,AE,2956587,25.07725,55.30927
1,616052,Yerevan,AM,1093485,40.18111,44.51361
2,2240449,Luanda,AO,2776168,-8.83682,13.23432
3,3651438,Santa Elena,EC,42214,-2.22622,-80.85873
4,3911925,La Paz,BO,812799,-16.5,-68.15
5,3435910,Buenos Aires,AR,13076300,-34.61315,-58.37723
6,1687894,Santa Rosa,PH,216650,14.31222,121.11139
7,3836277,Santa Fe,AR,489505,-31.64881,-60.70868
8,3837213,San Juan,AR,447048,-31.5375,-68.53639
9,5391959,San Francisco,US,864816,37.77493,-122.41942
10,3451138,Rio Grande,BR,187838,-32.035,-52.09861
11,3511550,Bella Vista,DO,175683,18.45539,-69.9454
12,2761369,Vienna,AT,1691468,48.20849,16.37208
13,5106834,Albany,US,98469,42.65258,-73.75623
14,5106834,Albany,US,98469,42.65258,-73.75623
15,2146142,Townsville,AU,196219,-19.26639,146.80569
16,2147714,Sydney,AU,4627345,-33.86785,151.20732
17,2151437,Rockhampton,AU,61724,-23.38032,150.50595
18,4781708,Richmond,US,220289,37.55376,-77.46026
19,4781708,Richmond,US,220289,37.55376,-77.46026
20,5379513,Orange,US,140992,33.78779,-117.85311
21,5379513,Orange,US,140992,33.78779,-117.85311
22,971421,Newcastle,ZA,404838,-27.75796,29.9318
23,2158177,Melbourne,AU,4246375,-37.814,144.96332
24,2158177,Melbourne,AU,4246375,-37.814,144.96332
25,5123280,Kensington,US,39120,40.64621,-73.97069
26,2165478,Gladstone,AU,30489,-23.84852,151.25775
27,5347335,Fairfield,US,112970,38.24936,-122.03997
28,5347335,Fairfield,US,112970,38.24936,-122.03997
29,2172517,Canberra,AU,367752,-35.28346,149.12807
30,2173323,Bundaberg,AU,70826,-24.86621,152.3479
31,2174003,Brisbane,AU,2189878,-27.46794,153.02809
32,2654710,Brighton,GB,139001,50.82838,-0.13947
33,586523,Ganja,AZ,313300,40.68278,46.36056
34,587084,Baku,AZ,1116513,40.37767,49.89201
35,1185241,Dhaka,BD,10356500,23.7104,90.40744
36,2800866,Brussels,BE,1019022,50.85045,4.34878
37,5969782,Hamilton,CA,519949,43.25011,-79.84963
38,3902377,Trinidad,BO,84259,-14.83333,-64.9
39,3390760,Recife,BR,1478098,-8.05389,-34.88111
40,3393536,Olinda,BR,366754,-8.00889,-34.85528
41,3394023,Natal,BR,763043,-5.795,-35.20944
42,3396277,Limoeiro,BR,42328,-7.87472,-35.45028
43,3399415,Fortaleza,BR,2400000,-3.71722,-38.54306
44,5174035,Toledo,US,279789,41.66394,-83.55521
45,3449433,Santos,BR,411403,-23.96083,-46.33361
46,3871336,Santiago,CL,4837295,-33.45694,-70.64827
47,3450554,Salvador,BR,2711840,-12.97111,-38.51083
48,5389489,Sacramento,US,490712,38.58157,-121.4944
49,3453643,Piracicaba,BR,342209,-22.72528,-47.64917
50,3460344,Jacobina,BR,47637,-11.18143,-40.51372
51,1248991,Colombo,LK,648034,6.93548,79.84868
52,1248991,Colombo,LK,648034,6.93548,79.84868
53,3467865,Campinas,BR,1031554,-22.90556,-47.06083
54,3469136,Botucatu,BR,113862,-22.88583,-48.445
55,3470127,Belo Horizonte,BR,2373224,-19.92083,-43.93778
56,3663517,Manaus,BR,1598210,-3.10194,-60.025
57,3571824,Nassau,BS,227940,25.05823,-77.34306
58,3582672,Belmopan,BZ,13381,17.25,-88.76667
59,3582677,Belize City,BZ,61461,17.49952,-88.19756
60,5412347,Aurora,US,359407,39.72943,-104.83192
61,5913490,Calgary,CA,1019942,51.05011,-114.08529
62,2653941,Cambridge,GB,158434,52.2,0.11667
63,2653941,Cambridge,GB,158434,52.2,0.11667
64,2653305,Chatham,GB,75509,51.37891,0.52786
65,4068590,Huntsville,US,190582,34.7304,-86.58594
66,3489854,Kingston,JM,937700,17.99702,-76.79358
67,2643743,London,GB,7556900,51.50853,-0.12574
68,2643743,London,GB,7556900,51.50853,-0.12574
69,6074377,Milton,CA,101715,43.51681,-79.88294
70,6089426,North Bay,CA,50396,46.3168,-79.46633
71,6090785,North Vancouver,CA,48000,49.31636,-123.06934
72,6094817,Ottawa,CA,812129,45.41117,-75.69812
73,6155721,St. Catharines,CA,131989,43.17126,-79.24267
74,4843811,Stratford,US,51384,41.18454,-73.13317
75,6163012,Terrebonne,CA,94703,45.70004,-73.64732
76,6167865,Toronto,CA,2600000,43.70011,-79.4163
77,6173331,Vancouver,CA,600000,49.24966,-123.11934
78,6182962,Windsor,CA,278013,42.30008,-83.01654
79,6183235,Winnipeg,CA,632063,49.8844,-97.14704
80,6324729,Halifax,CA,359111,44.64533,-63.57239
81,2314302,Kinshasa,CD,7785965,-4.32758,15.31357
82,2260535,Brazzaville,CG,1284609,-4.26613,15.28318
83,2659994,Lausanne,CH,116751,46.516,6.63282
